,x,y
39258,348.06982421875,237.7440490722656
39259,350.0904541015625,236.97767639160156
39260,350.5226745605469,235.34275817871097
39261,352.5520324707031,233.36753845214844
39262,352.357666015625,232.3973693847656
39263,352.559814453125,232.19314575195312
39264,353.2546691894531,232.4467010498047
39265,354.1818542480469,233.12667846679688
39266,354.8462219238281,235.27508544921875
39267,354.3587646484375,236.75634765625
39268,353.7942199707031,237.15304565429688
39269,353.5544128417969,237.53659057617188
39270,353.7236022949219,238.4942169189453
39271,353.80389404296875,239.85853576660156
39272,353.854736328125,240.06613159179688
39273,353.59417724609375,241.48109436035156
39274,353.30517578125,243.0978240966797
39275,353.3172912597656,243.4728546142578
39276,353.5264587402344,243.35060119628903
39277,353.6836242675781,243.25125122070312
39278,354.2819519042969,242.56710815429688
39279,354.93365478515625,240.83251953125
39280,355.71435546875,239.08511352539065
39281,356.6224670410156,238.44622802734375
39285,360.6720886230469,235.7552947998047
39289,366.7594909667969,232.99127197265625
39290,367.4613952636719,231.75881958007812
39291,367.4704284667969,231.2100830078125
39292,368.0135498046875,230.0117950439453
39293,366.9154357910156,230.0754241943359
39294,366.8727416992187,229.70333862304688
39295,367.1143798828125,229.32595825195312
39296,368.191162109375,228.7238922119141
39297,369.6307678222656,228.7360076904297
39298,370.3221435546875,228.35629272460935
39299,371.01123046875,228.6832275390625
39300,370.898193359375,228.43484497070312
39301,370.80999755859375,228.07521057128903
39302,370.4266662597656,228.6429748535156
39303,367.295654296875,226.71722412109375
39304,368.6349792480469,229.0807952880859
39305,367.9133911132813,228.7981719970703
39306,367.1451721191406,229.4907989501953
39307,366.850341796875,229.91351318359375
39308,367.3836059570313,230.00466918945312
39309,366.6479187011719,229.99156188964844
39310,366.2613830566406,230.29562377929688
39311,364.88037109375,230.3653259277344
39312,364.0930786132813,230.95089721679688
39313,364.2605895996094,231.1673583984375
39314,364.3410339355469,231.0876617431641
39315,364.43450927734375,231.0015411376953
39316,364.6258850097656,230.8409118652344
39317,364.5939636230469,230.63099670410156
39318,365.1540222167969,231.06149291992188
39319,365.5712585449219,231.8970184326172
39320,364.8439025878906,231.80519104003903
39321,364.5660095214844,231.92498779296875
39322,364.39605712890625,231.72360229492188
39323,363.9159851074219,231.83090209960935
39324,362.9965515136719,232.32281494140625
39325,360.4599609375,233.24905395507812
39326,360.1251220703125,233.74169921875
39327,360.7128601074219,233.867431640625
39328,360.6756896972656,233.6833343505859
39329,359.827880859375,233.78660583496097
39330,360.2957153320313,234.00680541992188
39331,360.3153076171875,233.59046936035156
39332,360.7814025878906,233.3092041015625
39333,361.91107177734375,233.2974853515625
39334,362.79150390625,232.9544982910156
39335,364.0173645019531,232.43136596679688
39336,365.2032165527344,231.94972229003903
39337,365.85205078125,231.37530517578125
39338,366.0993347167969,230.9703826904297
39339,366.163330078125,231.0598297119141
39340,366.7083740234375,230.05821228027344
39341,366.9211730957031,229.93597412109375
39342,367.16900634765625,229.5413055419922
39343,367.2716064453125,229.37319946289065
39344,367.39361572265625,229.09786987304688
39345,367.5149841308594,229.1300048828125
39346,367.81005859375,228.8527069091797
39347,367.56549072265625,228.76705932617188
39348,367.25286865234375,228.8824005126953
39349,367.32806396484375,228.8999786376953
39350,367.7932434082031,228.9156951904297
39351,368.1540222167969,228.4283447265625
39352,368.4838562011719,228.21414184570312
39353,368.8272399902344,227.67401123046875
39354,369.3778381347656,227.5940093994141
39355,369.4317321777344,227.30368041992188
39356,369.3047180175781,227.47703552246097
39357,368.6626281738281,227.6119842529297
39358,368.1502990722656,227.76409912109375
39359,368.5599670410156,228.358154296875
39360,368.7156677246094,228.88470458984375
39361,368.2879333496094,228.94949340820312
39362,368.2225341796875,228.8782958984375
39363,368.14410400390625,229.22398376464844
39364,368.3614501953125,229.12277221679688
39365,368.9892578125,228.56724548339844
39366,369.006103515625,228.4064178466797
39367,368.9007263183594,228.5261077880859
39368,368.951416015625,228.15220642089844
39369,368.7345886230469,228.64952087402344
39370,368.5269775390625,229.57257080078125
39371,367.8320007324219,230.63340759277344
39375,368.0213012695313,232.5421905517578
39376,368.0407409667969,233.52134704589844
39377,368.0093994140625,234.5967254638672
39378,367.8341979980469,236.9830322265625
39379,366.7830505371094,240.8173370361328
39380,366.3917846679687,243.54673767089844
39381,363.375732421875,245.53404235839844
39382,359.8122863769531,247.82020568847656
39383,357.25482177734375,252.6751708984375
39384,355.1163330078125,255.1638031005859
39385,352.2154235839844,258.2560119628906
39386,350.6401672363281,259.3002014160156
39387,349.7080078125,258.59405517578125
39388,347.5529479980469,257.4736633300781
39389,344.41009521484375,256.140869140625
39390,342.91082763671875,255.0128631591797
39391,340.85205078125,254.09536743164065
39392,338.5272216796875,253.108154296875
39393,336.14984130859375,253.01712036132812
39394,333.6632385253906,252.68386840820312
39395,330.01055908203125,252.23828125
39396,327.3141174316406,252.2948303222656
39397,326.07855224609375,251.962890625
39398,324.0227966308594,250.8898162841797
39399,322.9587097167969,248.65316772460935
39400,322.65704345703125,245.68826293945312
39401,321.00408935546875,244.8677978515625
39402,320.6221923828125,242.8239593505859
39403,320.9288330078125,240.5829315185547
39404,322.1095886230469,238.5396423339844
39405,322.9514465332031,237.10430908203125
39406,323.8323974609375,234.62973022460935
39407,324.3904113769531,233.21983337402344
39408,325.6875,231.11651611328125
39409,325.9972839355469,229.47317504882812
39410,326.9156494140625,228.36952209472656
39412,326.77911376953125,227.3714904785156
39413,326.61395263671875,227.8639984130859
39414,323.3365478515625,230.04959106445312
39416,320.3072204589844,237.6869354248047
39417,319.31494140625,244.0773468017578
39418,317.5295715332031,248.09744262695312
39421,315.3443603515625,261.9372863769531
