x,y,times
399.2303466796875,233.9460601806641,1135.2996666666666
398.79437255859375,234.13038635253903,1135.3340333333333
397.9374084472656,233.86488342285156,1135.3645666666666
397.68614705403644,233.6578140258789,1135.3987333333334
396.8687337239583,233.6388905843099,1135.4339
395.92906697591144,233.5292536417643,1135.4692333333332
395.2532704671224,233.49089558919272,1135.5041
394.4024403889974,233.75710805257162,1135.5394666666666
393.60414632161456,234.24476369222006,1135.5735666666667
393.1013488769531,234.58482615152994,1135.6085666666668
392.79607645670575,235.00545501708984,1135.6436666666666
392.64854939778644,235.60816701253256,1135.6787666666667
392.4162851969401,236.169314066569,1135.7092666666667
392.36326599121094,236.44099934895834,1135.7444
392.1852315266927,236.62115224202475,1135.7787666666666
391.7247009277344,236.72833760579428,1135.8137666666667
391.3894500732422,236.67849731445312,1135.8489666666667
391.11713155110675,236.56929524739584,1135.8843
390.8832600911458,236.47242991129556,1135.9188333333334
390.83887736002606,236.17334747314453,1135.9549
390.8103790283203,235.78799438476562,1135.9895333333334
390.83990478515625,235.4408976236979,1136.0240333333334
390.7972157796224,235.15912373860678,1136.0542
390.6942901611328,234.75726826985678,1136.0894333333333
390.48968505859375,234.44033813476562,1136.1236
390.02854410807294,234.50074768066406,1136.1587333333334
389.68996175130206,234.69819132486978,1136.1942666666666
389.3091278076172,235.03313446044922,1136.2286333333334
388.95952860514325,235.32770029703775,1136.2638333333334
388.5345204671224,235.64149729410806,1136.2988333333333
388.0202382405599,235.8520991007487,1136.3341666666668
387.6261291503906,235.88683573404947,1136.3696333333332
387.1589813232422,235.87432352701822,1136.4037666666666
386.74683634440106,235.8478012084961,1136.4341
386.39594014485675,235.8628184000651,1136.4692333333332
386.2193959554036,235.84689585367838,1136.5043333333333
386.13987731933594,235.89019521077475,1136.5393333333334
386.0911051432292,235.94527689615884,1136.5736333333334
386.1631215413411,235.8401311238607,1136.6090333333334
386.243158976237,235.68856048583984,1136.6443333333334
386.0787709554036,235.4991683959961,1136.6785666666667
385.8622283935547,235.50472005208334,1136.7139
385.8671875,235.558230082194,1136.749
385.9712626139323,235.75641377766928,1136.7792666666667
385.97340901692706,236.30978393554688,1136.8144
386.0032908121745,236.9847844441732,1136.8497
386.3646291097005,237.76483154296875,1136.8839666666668
386.87086995442706,238.48834991455078,1136.919
387.44691467285156,239.0674260457357,1136.9545
387.8945058186849,239.4015121459961,1136.9892333333332
388.0558319091797,239.07473500569662,1137.0245333333332
388.25429280598956,238.6622060139974,1137.0588333333333
388.4230651855469,238.5623016357422,1137.1593333333333
388.9912618001302,238.86900075276694,1137.1939
389.38710021972656,239.52867635091147,1137.2288666666666
390.05173746744794,240.3664296468099,1137.2639
391.1887512207031,241.7198053995768,1137.2991
392.3125406901042,242.96681213378906,1137.3343
393.1948649088542,243.65286509195963,1137.3684
393.24806722005206,243.6907170613607,1137.4037333333333
392.8472493489583,243.12843577067056,1137.4392
392.14039611816406,242.24847920735678,1137.4699666666668
391.35169474283856,241.2145563761393,1137.5039
390.37242635091144,240.2020263671875,1137.5390333333332
389.5800476074219,239.25098927815756,1137.5741666666668
389.0744883219401,238.23287200927734,1137.6086666666667
389.2611592610677,237.2450154622396,1137.6438666666666
389.6877187093099,237.7848892211914,1137.6791
389.8224639892578,238.90128326416016,1137.7143333333333
390.2039337158203,240.2452596028646,1138.1592666666666
390.6209767659505,241.74952697753906,1138.1936666666666
391.0003407796224,243.39783223470053,1138.2291666666667
391.0935312906901,245.265505472819,1138.2592333333334
392.1875305175781,245.6562067667643,1138.2988333333333
392.4280090332031,246.11607360839844,1138.3341333333333
392.52354431152344,246.5214360555013,1138.3694333333333
392.5043690999349,246.79883575439453,1138.8188
392.6252746582031,247.2725575764974,1138.8544666666667
392.627202351888,247.81179555257162,1138.8838
391.45115152994794,248.5870107014974,1138.9192666666668
391.4868977864583,248.70805867513022,1138.9538
391.50709533691406,248.77826182047525,1138.9894666666667
391.51918538411456,249.02593485514322,1139.0239
391.7740529378255,249.13907623291016,1139.0593333333334
392.3466389973958,249.22817993164062,1139.0937666666666
392.94593302408856,249.14836883544922,1139.1292
393.4892272949219,248.9153569539388,1139.1645333333333
394.2526550292969,248.270388285319,1139.1986333333334
394.99195861816406,247.26273345947266,1139.2337666666667
395.05291239420575,246.1063715616862,1139.264
393.4002990722656,242.66624704996744,1139.2993666666666
391.38559977213544,238.75916544596353,1139.3346666666666
388.84264119466144,234.49685923258463,1139.6089666666667
385.82294209798175,230.24842580159506,1139.6443666666667
382.7265268961589,225.80726623535156,1139.6786333333334
380.31871032714844,220.9988810221354,1139.7141333333334
379.80543009440106,218.22679138183594,1139.7496
379.8954671223958,215.77243041992188,1139.7841666666666
381.18068440755206,213.2232208251953,1139.8196333333333
383.5076141357422,210.87843322753906,1139.8542333333332
386.4175618489583,208.88031768798828,1139.8844333333334
389.2944590250651,207.31094614664713,1139.9239
391.88201904296875,205.83316548665366,1139.9543
394.27956136067706,204.1883748372396,1139.9893666666667
395.84080505371094,203.03359731038412,1140.0236
396.15553792317706,201.74945322672525,1140.0588333333333
395.2717641194661,200.44898478190103,1140.0943333333332
393.75571695963544,199.26529184977213,1140.1284333333333
391.63257853190106,198.4882074991862,1140.1639
389.275883992513,198.3266576131185,1140.1990666666666
385.97068786621094,198.39171854654947,1140.2342666666666
382.0869496663411,199.05599212646484,1140.2642333333333
378.7387440999349,200.20568339029947,1140.2994333333334
375.3387095133464,201.56956481933594,1140.3338666666666
372.13075256347656,202.53126271565756,1140.3696
368.97459411621094,203.22720082600912,1140.4038666666668
