,rat,day,perf_change
0,BP06,7,
1,BP06,8,0.11153846153846159
2,BP06,9,-0.19419839419839424
3,BP06,10,0.11837421837421847
4,BP06,11,0.018029029793735663
5,BP06,12,-0.06683855360325941
6,BP06,13,-0.06887254901960804
7,BP06,14,0.10005079106741521
8,BP06,15,-0.1621739130434784
9,BP06,16,0.007460872460872459
10,BP06,17,0.06545594756121087
11,BP06,18,0.09652324627556819
12,BP06,19,-0.03500601995184027
13,BP06,20,-0.02521493212669701
14,BP06,21,0.061062271062271245
15,BP06,22,0.0001831501831501825
16,BP07,1,
17,BP07,2,0.12114845938375352
18,BP07,3,0.09680025856496433
19,BP07,4,0.09975961538461542
20,BP07,5,-0.12447161835748799
21,BP07,6,-0.04888723729303435
22,BP07,7,0.035862313055295636
23,BP07,8,-0.10430991483623075
24,BP07,9,0.09493742972003849
25,BP07,10,0.04764808933606879
26,BP07,11,0.0560740085507887
27,BP07,12,-0.08799626694363516
28,BP07,13,0.03492473109408578
29,BP07,14,-0.004215440356744815
30,BP07,15,0.009185890157839882
31,BP07,16,-0.017550947260624783
32,BP07,17,0.06041517964659637
33,BP07,18,0.029622818574763454
34,BP07,19,-0.029356725146198803
35,BP07,20,0.040213278293773747
36,BP07,21,-0.0031372549019608176
37,BP07,22,-0.0527063983488133
38,BP07,23,0.036191246833661705
39,BP07,24,-0.002569815805109954
40,BP07,25,-0.05190918472652206
41,BP07,26,0.09766081871345023
42,BP07,27,-0.012499999999999956
43,BP07,28,-0.13750000000000007
44,BP08,1,
45,BP08,2,0.18232031126767967
46,BP08,3,0.08287038039360028
47,BP08,4,0.09555408397711274
48,BP08,5,-0.09316325147150262
49,BP08,6,0.058826237724742825
50,BP08,7,-0.0037378392217102263
51,BP08,8,-0.10712474066132605
52,BP08,9,0.11474549505627407
53,BP08,10,-0.043038561364479144
54,BP08,11,-0.035878489326765184
55,BP08,12,0.048799001924001995
56,BP08,13,0.03189672702754087
57,BP08,14,0.017352576909263062
58,BP08,15,0.02226978184858619
59,BP08,16,0.04399355346250322
60,BP08,17,-0.09841394237945955
61,BP08,18,0.06691182501708814
62,BP08,19,-0.016251082251082294
63,BP08,20,-0.0908320447154446
64,BP08,21,0.05907855030748799
65,BP08,22,-0.0504493027948405
66,BP08,23,0.04724661211980441
67,BP08,24,0.005371518541804399
68,BP08,25,-0.05978538369842723
69,BP08,26,0.08732579819536357
70,BP08,27,-0.02965668590668613
71,BP08,28,0.02892235761395945
72,BP08,29,-0.0810767799889699
73,BP08,30,-0.09056022408963593
74,BP08,31,0.05428571428571438
75,BP08,32,0.04087301587301584
76,BP08,33,-0.09900488400488405
77,BP08,34,0.16486064659977695
78,BP08,35,0.014606422279056619
79,BP08,36,0.01428168236991767
80,BP08,37,-0.02108623832308043
81,BP08,39,0.038589584413383005
82,BP08,40,-0.15578201186896823
83,BP08,41,-0.05930772609033497
84,BP08,42,0.1752206280032369
85,BP08,44,-0.07652113467630728
86,BP08,45,0.04925450315967572
87,BP08,46,-0.029117319814688236
88,BP08,47,-0.050854452811114226
89,BP08,48,0.08019176668403183
90,BP08,49,0.11446218487394955
91,BP08,50,-0.01574603174603184
92,BP09,1,
93,BP09,2,0.11590408590408585
94,BP09,3,0.004529794064677906
95,BP09,4,0.023079633544749734
96,BP09,5,-0.12144886363636365
97,BP09,6,-0.0020267461197339687
98,BP09,7,0.005932637056401013
99,BP09,8,-0.04821460305787917
100,BP09,9,-0.040909090909090895
101,BP09,10,0.05024561403508765
102,BP09,11,-0.0023377061271798727
103,BP09,12,-0.05233809012878776
104,BP09,13,0.02486195088794274
105,BP09,14,0.09008105184575776
106,BP09,15,-0.0450226244343892
107,BP09,16,0.05000912915773614
108,BP09,17,-0.0326421823790245
109,BP09,18,-0.021190476190476204
110,BP09,19,-0.027668404675805336
111,BP09,20,-0.058910542692615864
112,BP09,21,-0.14114832535885158
113,BP09,22,0.15844155844155838
114,BP09,23,-0.09682539682539681
115,BP09,24,-0.001388888888888884
116,BP09,25,0.07440476190476186
117,BP09,26,0.0714285714285714
118,BP09,27,-0.011904761904761862
119,BP09,28,0.022321428571428603
120,BP09,29,0.15625
121,BP09,30,-0.2185335132703553
122,BP09,31,0.1298395561553456
123,BP09,32,0.06400259909031836
124,BP09,33,-0.1401831939466348
125,BP09,34,0.10140705971126429
126,BP09,35,-0.11071240191983234
127,BP09,36,0.02696798446798465
128,BP09,37,0.05721190971190959
129,BP09,38,-0.07111111111111112
130,BP10,1,
131,BP10,2,0.19264342279714763
132,BP10,3,0.08738548273432001
133,BP10,4,-0.1777777777777778
134,BP10,5,0.05739787406454089
135,BP10,6,0.0665204724344508
136,BP10,7,-0.16817825978450807
137,BP10,8,0.03747826900387219
138,BP10,9,0.06200770646422815
139,BP10,10,0.014814398446112098
140,BP10,11,-0.1474958880841235
141,BP10,12,-0.02225921900921901
142,BP10,13,0.007971140928037523
143,BP10,14,0.0019627875198391376
144,BP10,15,0.1275584957945476
145,BP10,16,0.023563748079877267
146,BP10,17,-0.07646656137911001
147,BP10,18,0.13203324808184147
148,BP10,19,-0.0636918382913807
149,BP10,20,-0.1370649405772495
150,BP10,21,0.10162634408602145
151,BP10,22,0.04690476190476178
152,BP10,23,-0.011904761904761862
153,BP10,24,-0.1389999999999999
154,BP10,25,0.16962770562770546
155,BP10,26,-0.008294372294372021
156,BP10,27,-0.05317378917378923
157,BP10,28,-0.12332621082621087
158,BP10,29,0.014423076923076872
159,BP10,30,0.10164835164835173
160,BP10,31,0.1495535714285714
161,BP10,32,-0.033544580419580416
162,BP10,33,-0.07532271649918709
163,BP10,34,0.06627620745267804
164,BP10,35,0.018941105278866277
165,BP10,36,-0.18501688773395908
166,BP10,37,-0.052374245777544126
167,BP10,38,0.08791611769872631
168,BP10,39,-0.10812499999999992
169,BP10,40,0.0033143939393939226
170,BP10,41,0.14325888007834187
171,BP10,42,0.03280723681224318
172,BP10,43,0.10784094826648016
173,BP10,44,-0.08428585303585301
174,BP10,45,-0.01329691845996206
175,BP10,46,-0.08692330422090533
176,BP11,1,
177,BP11,2,-0.41666666666666674
178,BP11,3,0.125
179,BP11,4,0.3583333333333334
180,BP11,5,0.09999999999999987
181,BP11,6,-0.02777777777777768
182,BP11,7,0.051587301587301626
183,BP11,8,-0.15714285714285725
184,BP11,9,0.2270833333333333
185,BP11,10,0.027462121212121327
186,BP11,11,-0.00454545454545463
187,BP11,12,-0.27142857142857146
188,BP11,13,0.1444444444444446
189,BP11,14,-0.011111111111111294
190,BP11,15,-0.0012767425810903399
191,BP11,16,-0.05186390761838322
192,BP11,17,0.012664459723283228
193,BP11,18,0.11746031746031738
194,BP11,19,0.0444444444444444
195,BP11,20,-0.10539074960127581
196,BP11,21,0.07006256427309066
197,BP11,22,0.011396561396561311
198,BP11,23,0.06976495726495724
199,BP11,24,-0.17403348463131074
200,BP11,25,0.043486947834774026
201,BP11,26,-0.0366434552289816
202,BP11,27,0.09861156065296939
203,BP11,28,-0.14669934640522886
204,BP11,30,0.14631226053639845
205,BP11,31,-0.06496305418719206
206,BP11,32,-0.0075814536340851335
207,BP11,33,0.08595446950710106
208,BP11,34,-0.1610958485958487
209,BP11,35,0.10090385513179645
210,BP11,36,-0.06529077540106965
