,rat,day,trial_type,perf_change
160,BP07,21,5,0.0
161,BP07,22,5,-15.789473684210535
162,BP07,23,5,15.789473684210535
163,BP07,24,5,0.0
164,BP07,25,5,0.0
165,BP07,26,5,0.0
166,BP07,27,5,0.0
167,BP07,28,5,-50.0
168,BP08,1,1,56.64285714285714
169,BP08,2,1,24.436090225563916
170,BP08,3,1,-2.167182662538707
171,BP08,4,1,15.182829888712249
172,BP08,5,1,5.4054054054054035
173,BP08,6,1,0.0
174,BP08,7,1,-8.333333333333343
175,BP08,8,1,-0.7575757575757507
176,BP08,9,1,9.090909090909093
177,BP08,10,1,0.0
178,BP08,11,1,0.0
179,BP08,12,1,-3.7037037037037095
180,BP08,13,1,1.0010010010010149
181,BP08,14,1,-0.42229729729730536
182,BP08,15,1,3.125
183,BP08,16,1,0.0
184,BP08,17,1,0.0
185,BP08,18,1,0.0
186,BP08,19,1,-4.545454545454547
187,BP08,20,1,-6.5656565656565675
188,BP08,21,1,6.763285024154598
189,BP08,22,1,4.347826086956516
190,BP08,23,1,0.0
191,BP08,24,1,0.0
192,BP08,25,1,0.0
193,BP08,26,1,0.0
194,BP08,27,1,0.0
195,BP08,28,1,-6.451612903225808
196,BP08,29,1,6.451612903225808
197,BP08,30,1,0.0
198,BP08,31,1,0.0
199,BP08,32,1,0.0
200,BP08,33,1,-10.0
201,BP08,34,1,10.0
202,BP08,35,1,0.0
203,BP08,36,1,0.0
204,BP08,37,1,0.0
205,BP08,39,1,0.0
206,BP08,40,1,-16.666666666666657
207,BP08,41,1,10.416666666666657
208,BP08,42,1,2.4038461538461604
209,BP08,44,1,-3.0503978779840963
210,BP08,45,1,2.896551724137936
211,BP08,46,1,4.0
212,BP08,47,1,-17.07317073170732
213,BP08,48,1,17.07317073170732
214,BP08,49,1,0.0
215,BP08,50,1,0.0
216,BP08,1,2,45.65384615384615
217,BP08,2,2,12.027972027972027
218,BP08,3,2,18.741258741258754
219,BP08,4,2,3.927986906710288
220,BP08,5,2,3.148936170212778
221,BP08,6,2,-3.3548387096774235
222,BP08,7,2,1.7077798861480034
223,BP08,8,2,-5.429864253393646
224,BP08,9,2,23.076923076923066
225,BP08,10,2,-27.58620689655173
226,BP08,11,2,4.7290640394088825
227,BP08,12,2,-8.392857142857153
228,BP08,13,2,7.44047619047619
229,BP08,14,2,3.296703296703299
230,BP08,15,2,8.391608391608386
231,BP08,16,2,8.672936259143157
232,BP08,17,2,-7.26600985221674
233,BP08,18,2,2.714285714285708
234,BP08,19,2,-10.181818181818173
235,BP08,20,2,4.388714733542301
236,BP08,21,2,-3.5982008995502213
237,BP08,22,2,-14.037267080745337
238,BP08,23,2,8.84792626728111
239,BP08,24,2,0.35842293906810596
240,BP08,25,2,-0.5050505050505194
241,BP08,26,2,15.319865319865329
242,BP08,27,2,-14.81481481481481
243,BP08,28,2,15.555555555555543
244,BP08,29,2,-11.19047619047619
245,BP08,30,2,17.85714285714286
246,BP08,31,2,-37.5
247,BP08,32,2,0.0
248,BP08,33,2,6.730769230769226
249,BP08,34,2,22.073578595317727
250,BP08,35,2,-6.68896321070234
251,BP08,36,2,15.384615384615387
252,BP08,37,2,-15.789473684210535
253,BP08,39,2,15.789473684210535
254,BP08,40,2,-25.0
255,BP08,41,2,-11.363636363636367
256,BP08,42,2,24.82517482517482
257,BP08,44,2,-10.683760683760667
258,BP08,45,2,1.0101010101009962
259,BP08,46,2,1.2121212121212182
260,BP08,47,2,-19.583333333333336
261,BP08,48,2,18.995098039215684
262,BP08,49,2,12.588235294117652
263,BP08,50,2,-3.1111111111111143
264,BP08,5,3,50.71951219512195
265,BP08,6,3,21.002710027100264
266,BP08,7,3,-1.6339869281045623
267,BP08,8,3,-2.588235294117652
268,BP08,9,3,-0.25806451612903913
269,BP08,10,3,4.67185761957731
270,BP08,11,3,-19.080459770114935
271,BP08,12,3,19.393939393939398
272,BP08,13,3,4.0169133192388955
273,BP08,14,3,-6.744186046511629
274,BP08,15,3,-2.608695652173907
275,BP08,16,3,8.924485125858126
276,BP08,17,3,-18.421052631578952
277,BP08,18,3,17.105263157894733
278,BP08,19,3,3.5714285714285694
279,BP08,20,3,-1.1520737327188897
280,BP08,21,3,-14.086021505376351
281,BP08,22,3,4.166666666666671
282,BP08,23,3,11.810344827586206
283,BP08,24,3,-20.97701149425287
284,BP08,25,3,7.051282051282051
285,BP08,26,3,6.043956043956044
286,BP08,27,3,-5.803571428571431
287,BP08,28,3,1.875
288,BP08,29,3,0.14705882352942012
289,BP08,30,3,12.35294117647058
290,BP08,31,3,-8.57142857142857
291,BP08,32,3,-15.873015873015873
292,BP08,33,3,-15.555555555555557
293,BP08,34,3,30.0
294,BP08,35,3,12.608695652173907
295,BP08,36,3,17.391304347826093
296,BP08,37,3,-19.04761904761905
297,BP08,39,3,4.2328042328042415
298,BP08,40,3,-8.262108262108256
299,BP08,41,3,-20.923076923076927
300,BP08,42,3,9.714285714285701
301,BP08,44,3,-6.623376623376615
302,BP08,45,3,13.13131313131312
303,BP08,46,3,-1.1695906432748444
304,BP08,47,3,-3.661327231121277
305,BP08,48,3,10.733695652173907
306,BP08,49,3,17.113095238095227
307,BP08,50,3,-9.523809523809518
308,BP08,8,4,58.875
309,BP08,9,4,11.592741935483872
310,BP08,10,4,5.6989247311827995
311,BP08,11,4,0.0
312,BP08,12,4,12.222222222222214
313,BP08,13,4,0.3003003003003073
314,BP08,14,4,10.810810810810807
315,BP08,15,4,0.0
316,BP08,16,4,0.0
317,BP08,17,4,0.0
318,BP08,18,4,0.0
319,BP08,19,4,0.0
320,BP08,20,4,-35.13513513513513
321,BP08,21,4,25.13513513513513
322,BP08,22,4,-17.272727272727266
323,BP08,23,4,7.272727272727266
324,BP08,24,4,20.0
325,BP08,25,4,-19.04761904761905
326,BP08,26,4,6.926406926406926
327,BP08,27,4,-0.37878787878787534
328,BP08,28,4,5.603448275862064
329,BP08,29,4,-34.279918864097354
330,BP08,30,4,-8.82352941176471
331,BP08,31,4,35.71428571428571
332,BP08,32,4,7.142857142857153
333,BP08,33,4,-23.626373626373635
334,BP08,37,4,17.132867132867133
335,BP08,39,4,-3.754940711462453
336,BP08,40,4,7.391304347826093
337,BP08,41,4,-33.47826086956522
338,BP08,42,4,36.070853462157814
339,BP08,44,4,-11.342592592592595
340,BP08,45,4,-3.125
341,BP08,46,4,-11.458333333333343
342,BP08,47,4,14.414414414414424
343,BP08,48,4,2.252252252252262
344,BP08,49,4,16.666666666666657
345,BP08,50,4,0.0
346,BP08,17,5,69.1969696969697
347,BP08,18,5,13.63636363636364
348,BP08,19,5,3.030303030303017
349,BP08,20,5,-6.951871657754012
350,BP08,21,5,15.325077399380802
351,BP08,22,5,-2.429149797570844
352,BP08,23,5,-4.307692307692307
353,BP08,24,5,3.3043478260869534
354,BP08,25,5,-17.391304347826093
355,BP08,26,5,15.372670807453432
356,BP08,27,5,6.1688311688311614
357,BP08,28,5,-2.1212121212121247
358,BP08,29,5,-1.6666666666666714
359,BP08,30,5,-66.66666666666666
360,BP08,31,5,37.5
361,BP08,32,5,29.166666666666657
362,BP08,33,5,-7.051282051282044
363,BP08,39,5,6.293706293706293
364,BP08,40,5,-35.35353535353535
365,BP08,41,5,25.694444444444443
366,BP08,42,5,10.75
367,BP08,44,5,-2.714285714285708
368,BP08,45,5,10.714285714285708
369,BP08,46,5,-7.142857142857139
370,BP08,47,5,0.4761904761904674
371,BP08,48,5,-8.958333333333329
372,BP08,49,5,10.863095238095227
373,BP08,50,5,4.761904761904773
374,BP09,1,1,96.7972972972973
375,BP09,2,1,0.8845208845208816
376,BP09,3,1,-0.45454545454545325
377,BP09,4,1,2.2727272727272663
378,BP09,5,1,0.0
379,BP09,6,1,0.0
380,BP09,7,1,0.0
381,BP09,8,1,-4.166666666666657
382,BP09,9,1,4.166666666666657
383,BP09,10,1,0.0
384,BP09,11,1,0.0
385,BP09,12,1,-7.142857142857139
386,BP09,13,1,7.142857142857139
387,BP09,14,1,0.0
388,BP09,15,1,0.0
389,BP09,16,1,-5.26315789473685
390,BP09,17,1,5.26315789473685
391,BP09,18,1,0.0
392,BP09,19,1,0.0
393,BP09,23,1,-22.222222222222214
394,BP09,24,1,22.222222222222214
395,BP09,25,1,-14.285714285714292
396,BP09,26,1,14.285714285714292
397,BP09,27,1,-21.42857142857143
398,BP09,28,1,8.92857142857143
399,BP09,29,1,12.5
400,BP09,30,1,-13.333333333333329
401,BP09,31,1,13.333333333333329
402,BP09,32,1,-7.407407407407405
403,BP09,33,1,-5.925925925925924
404,BP09,34,1,13.333333333333329
405,BP09,35,1,0.0
406,BP09,36,1,-3.8461538461538396
407,BP09,37,1,3.8461538461538396
408,BP09,38,1,-10.0
409,BP09,1,2,73.5
410,BP09,2,2,22.29629629629629
411,BP09,3,2,-0.947459086993959
412,BP09,4,2,4.6511627906976685
413,BP09,5,2,0.0
414,BP09,6,2,0.0
415,BP09,7,2,0.0
416,BP09,8,2,-4.545454545454547
417,BP09,9,2,4.545454545454547
418,BP09,10,2,0.0
419,BP09,11,2,-3.7037037037037095
420,BP09,12,2,-0.4629629629629477
421,BP09,13,2,-14.351851851851862
422,BP09,14,2,18.51851851851852
423,BP09,15,2,0.0
424,BP09,16,2,0.0
425,BP09,17,2,0.0
426,BP09,18,2,0.0
427,BP09,19,2,-9.090909090909093
428,BP09,23,2,-30.909090909090907
429,BP09,24,2,-22.5
430,BP09,25,2,29.166666666666657
431,BP09,26,2,0.0
432,BP09,27,2,19.04761904761905
433,BP09,28,2,-4.464285714285708
434,BP09,29,2,18.75
435,BP09,30,2,-15.384615384615387
436,BP09,31,2,9.82905982905983
437,BP09,32,2,5.555555555555557
438,BP09,33,2,-16.129032258064512
439,BP09,34,2,10.246679316888034
440,BP09,35,2,-8.932461873638331
441,BP09,36,2,4.100529100529101
442,BP09,37,2,10.714285714285708
443,BP09,38,2,-11.111111111111114
444,BP09,3,3,99.5
445,BP09,4,3,0.0
446,BP09,5,3,-3.125
447,BP09,6,3,-21.265243902439025
448,BP09,7,3,3.460011344299488
449,BP09,8,3,-5.736434108527135
450,BP09,9,3,-23.33333333333333
451,BP09,10,3,15.789473684210535
452,BP09,11,3,-3.627311522048373
453,BP09,12,3,-9.889434889434888
454,BP09,13,3,9.491978609625669
455,BP09,14,3,10.110294117647058
456,BP09,15,3,7.536764705882348
457,BP09,16,3,-6.911764705882348
458,BP09,17,3,6.071428571428569
459,BP09,18,3,-1.0714285714285694
460,BP09,19,3,-7.934782608695656
461,BP09,20,3,10.434782608695656
462,BP09,21,3,0.0
463,BP09,22,3,20.0
464,BP09,30,3,-36.8421052631579
465,BP09,31,3,15.789473684210527
466,BP09,32,3,21.05263157894737
467,BP09,33,3,-20.0
468,BP09,34,3,6.8421052631579045
469,BP09,35,3,1.1578947368420955
470,BP09,36,3,-8.0
471,BP09,37,3,0.0
472,BP09,38,3,0.0
473,BP09,5,4,54.04545454545454
474,BP09,6,4,20.45454545454546
475,BP09,7,4,-1.0869565217391397
476,BP09,8,4,-21.41304347826086
477,BP09,9,4,-5.833333333333336
478,BP09,10,4,13.333333333333336
479,BP09,11,4,2.1621621621621614
480,BP09,12,4,-8.67379006913891
481,BP09,13,4,10.147991543340382
482,BP09,14,4,11.363636363636367
483,BP09,15,4,-25.0
484,BP09,16,4,37.17948717948718
485,BP09,17,4,-27.655677655677657
486,BP09,18,4,-9.523809523809526
487,BP09,19,4,3.191489361702125
488,BP09,20,4,20.492721164613656
489,BP09,21,4,-28.229665071770327
490,BP09,22,4,11.688311688311686
491,BP09,35,4,0.0
492,BP09,36,4,18.53281853281854
493,BP09,37,4,8.324324324324323
494,BP09,38,4,-7.333333333333329
495,BP09,8,5,99.5
496,BP09,9,5,0.0
497,BP09,10,5,-4.0
498,BP09,11,5,4.0
499,BP09,12,5,0.0
500,BP09,13,5,0.0
501,BP09,14,5,0.0
502,BP09,15,5,0.0
503,BP09,16,5,0.0
504,BP09,17,5,0.0
505,BP09,18,5,0.0
506,BP09,19,5,0.0
507,BP10,1,1,80.8953488372093
508,BP10,2,1,15.271317829457374
509,BP10,3,1,3.3333333333333286
510,BP10,4,1,-5.0
511,BP10,5,1,1.4285714285714306
512,BP10,6,1,0.3456221198156726
513,BP10,7,1,-22.580645161290334
514,BP10,8,1,10.421836228287845
515,BP10,9,1,0.0
516,BP10,10,1,8.241758241758248
517,BP10,11,1,7.142857142857139
518,BP10,12,1,0.0
519,BP10,13,1,0.0
520,BP10,14,1,0.0
521,BP10,15,1,0.0
522,BP10,16,1,0.0
523,BP10,17,1,-22.058823529411768
524,BP10,18,1,22.058823529411768
525,BP10,19,1,0.0
526,BP10,20,1,-3.125
527,BP10,21,1,-23.54166666666667
528,BP10,22,1,8.80952380952381
529,BP10,23,1,5.357142857142861
530,BP10,24,1,12.5
531,BP10,25,1,-13.63636363636364
532,BP10,26,1,5.63636363636364
533,BP10,27,1,-18.923076923076934
534,BP10,28,1,14.423076923076934
535,BP10,29,1,-12.5
536,BP10,30,1,10.714285714285708
537,BP10,31,1,14.285714285714292
538,BP10,32,1,-11.538461538461547
539,BP10,33,1,11.538461538461547
540,BP10,34,1,0.0
541,BP10,35,1,0.0
542,BP10,36,1,-25.0
543,BP10,37,1,-11.363636363636367
544,BP10,38,1,36.36363636363637
545,BP10,39,1,-3.125
546,BP10,40,1,-2.9356060606060623
547,BP10,41,1,6.060606060606062
548,BP10,42,1,0.0
549,BP10,43,1,0.0
550,BP10,44,1,-18.181818181818173
551,BP10,45,1,7.0707070707070585
552,BP10,46,1,-16.475095785440615
553,BP10,1,2,55.432203389830505
554,BP10,2,2,23.015165031222125
555,BP10,3,2,14.385964912280699
556,BP10,4,2,6.666666666666671
557,BP10,5,2,-7.407407407407405
558,BP10,6,2,-4.71380471380472
559,BP10,7,2,-17.290552584670223
560,BP10,8,2,-0.2178649237472854
561,BP10,9,2,3.7037037037037095
562,BP10,10,2,-0.5446623093681922
563,BP10,11,2,-27.583465818759933
564,BP10,12,2,18.05405405405405
565,BP10,13,2,-9.238095238095234
566,BP10,14,2,14.20361247947455
567,BP10,15,2,5.320197044334975
568,BP10,16,2,2.184873949579824
569,BP10,17,2,0.34100596760443125
570,BP10,18,2,4.34782608695653
571,BP10,19,2,-12.738367658276132
572,BP10,20,2,-15.296052631578945
573,BP10,21,2,26.875
574,BP10,22,2,2.142857142857139
575,BP10,23,2,5.357142857142861
576,BP10,24,2,-51.5
577,BP10,25,2,41.272727272727266
578,BP10,26,2,2.7272727272727337
579,BP10,27,2,1.481481481481481
580,BP10,28,2,-31.48148148148148
581,BP10,29,2,15.384615384615387
582,BP10,30,2,9.615384615384613
583,BP10,31,2,15.625
584,BP10,32,2,4.829545454545453
585,BP10,33,2,-0.7177033492823028
586,BP10,34,2,2.2328548644338184
587,BP10,35,2,-3.4213098729227767
588,BP10,36,2,6.451612903225808
589,BP10,37,2,-11.111111111111114
590,BP10,38,2,1.1111111111111143
591,BP10,39,2,-33.75
592,BP10,40,2,7.386363636363633
593,BP10,41,2,19.69696969696971
594,BP10,42,2,-10.000000000000014
595,BP10,43,2,19.523809523809533
596,BP10,44,2,-2.857142857142861
597,BP10,45,2,-20.434782608695656
598,BP10,46,2,8.695652173913047
599,BP10,4,3,41.16666666666667
600,BP10,5,3,23.1981981981982
601,BP10,6,3,24.324324324324323
602,BP10,7,3,0.4659832246039173
603,BP10,8,3,0.3448275862068897
604,BP10,9,3,-3.0434782608695627
605,BP10,10,3,5.043478260869563
606,BP10,11,3,3.4545454545454533
607,BP10,12,3,-40.909090909090914
608,BP10,13,3,4.428904428904438
609,BP10,14,3,-6.34278002699056
610,BP10,15,3,22.368421052631582
611,BP10,20,3,5.6451612903225765
612,BP10,21,3,2.6881720430107663
613,BP10,22,3,4.166666666666657
614,BP10,23,3,-8.333333333333343
