,rat,day,total,likelihood,start,DBSCAN,jumps
0,BP09,Day38,5166,5166,0,0,431
1,BP09,Day31,2479,2476,0,3,40980
2,BP09,Day36,6708,6708,0,0,0
3,BP09,Day37,5047,5047,0,0,466
4,BP09,Day30,2681,2678,0,3,0
5,BP09,Day4,3918,3918,0,0,0
6,BP09,Day3,4704,4704,0,0,67948
7,BP09,Day2,6510,6510,0,0,40991
8,BP09,Day5,6815,6815,0,0,71414
9,BP09,Day23,8457,8447,0,10,5130
10,BP09,Day24,15503,3224,14286,0,0
11,BP09,Day12,8505,8505,0,0,78770
12,BP09,Day15,6314,6313,0,1,63920
13,BP09,Day14,7282,7279,0,3,34653
14,BP09,Day13,7930,7930,0,0,55740
15,BP09,Day25,3908,3905,0,3,11510
16,BP09,Day22,8404,8404,0,0,16627
17,BP09,Day35,5567,5566,0,1,4728
18,BP09,Day32,3778,3764,0,14,25823
19,BP09,Day33,4406,4382,0,24,46819
20,BP09,Day34,4887,4887,0,0,0
21,BP09,Day7,7298,7298,0,0,94255
22,BP09,Day9,8228,8228,0,0,85537
23,BP09,Day8,9138,9132,0,6,81869
24,BP09,Day6,6780,6780,0,0,99847
25,BP09,Day1,31192,31188,0,4,2745
26,BP09,Day27,2800,2794,0,6,17955
27,BP09,Day18,8308,8308,0,0,39244
28,BP09,Day20,14796,14793,0,3,15696
29,BP09,Day16,7932,7932,0,0,56927
30,BP09,Day29,1880,1854,0,26,20140
31,BP09,Day11,9060,9053,0,7,76782
32,BP09,Day10,11840,9763,3352,0,62044
33,BP09,Day17,8204,8203,0,1,52280
34,BP09,Day28,2830,2829,0,1,38413
35,BP09,Day21,2738,2697,0,41,1497
36,BP09,Day26,2467,2435,0,32,0
37,BP09,Day19,9209,9207,0,2,25464
