,rat,day,total,likelihood,start,DBSCAN,jumps
0,BP13,Day30,8901,8707,425,0,0
1,BP13,Day4,17765,17177,1660,0,0
2,BP13,Day3,17037,16824,451,0,0
3,BP13,Day2,9121,9015,560,0,0
4,BP13,Day5,15446,15296,593,0,0
5,BP13,Day23,7757,7244,685,0,0
6,BP13,Day24,6976,6350,827,4,0
7,BP13,Day12,8872,8407,700,4,0
8,BP13,Day15,6735,6328,669,0,1202
9,BP13,Day14,5154,4943,395,0,237
10,BP13,Day13,6934,6690,666,0,0
11,BP13,Day25,8032,6767,1461,0,0
12,BP13,Day22,8433,8061,440,1,0
13,BP13,Day7,5211,5012,440,0,0
14,BP13,Day9,7890,7438,711,0,0
15,BP13,Day8,5071,4906,462,0,0
16,BP13,Day6,13237,13050,300,0,0
17,BP13,Day1,13128,12149,1642,2,0
18,BP13,Day27,10071,9827,479,0,0
19,BP13,Day18,5194,4256,1252,0,0
20,BP13,Day20,6209,5794,725,0,0
21,BP13,Day16,4571,3967,819,0,0
22,BP13,Day29,7707,7284,600,0,0
23,BP13,Day11,8942,8612,464,10,0
24,BP13,Day10,6593,6445,451,0,0
25,BP13,Day17,5070,4770,431,0,0
26,BP13,Day28,7925,7578,485,0,0
27,BP13,Day21,8079,7415,961,6,0
28,BP13,Day26,9177,8701,714,0,0
29,BP13,Day19,41474,11231,39258,0,0
