,rat,day,trial_type,total_trials,correct_trials
176,BP08,33,4,13.0,9.0
177,BP08,33,5,13.0,11.0
178,BP08,34,1,20.0,20.0
179,BP08,34,2,23.0,21.0
180,BP08,34,3,30.0,21.0
181,BP08,7,1,12.0,11.0
182,BP08,7,2,17.0,14.0
183,BP08,7,3,17.0,12.0
184,BP08,9,1,21.0,21.0
185,BP08,9,2,23.0,23.0
186,BP08,9,3,31.0,21.0
187,BP08,9,4,31.0,22.0
188,BP08,8,1,22.0,20.0
189,BP08,8,2,26.0,20.0
190,BP08,8,3,25.0,17.0
191,BP08,8,4,32.0,19.0
192,BP08,6,1,25.0,25.0
193,BP08,6,2,31.0,25.0
194,BP08,6,3,36.0,26.0
195,BP08,1,1,35.0,20.0
196,BP08,1,2,52.0,24.0
197,BP08,27,1,24.0,24.0
198,BP08,27,2,27.0,21.0
199,BP08,27,3,32.0,21.0
200,BP08,27,4,24.0,21.0
201,BP08,27,5,22.0,21.0
202,BP08,18,1,22.0,22.0
203,BP08,18,2,25.0,23.0
204,BP08,18,3,28.0,21.0
205,BP08,18,4,24.0,24.0
206,BP08,18,5,30.0,25.0
207,BP08,20,1,27.0,24.0
208,BP08,20,2,29.0,25.0
209,BP08,20,3,31.0,24.0
210,BP08,20,4,37.0,24.0
211,BP08,20,5,34.0,27.0
212,BP08,16,1,26.0,26.0
213,BP08,16,2,29.0,28.0
214,BP08,16,3,38.0,29.0
215,BP08,16,4,26.0,26.0
216,BP08,29,1,21.0,21.0
217,BP08,29,2,28.0,23.0
218,BP08,29,3,34.0,23.0
219,BP08,29,4,34.0,20.0
220,BP08,29,5,24.0,22.0
221,BP08,11,1,24.0,24.0
222,BP08,11,2,35.0,27.0
223,BP08,11,3,45.0,24.0
224,BP08,11,4,30.0,23.0
225,BP08,45,1,25.0,24.0
226,BP08,45,2,33.0,26.0
227,BP08,45,3,36.0,26.0
228,BP08,45,4,32.0,25.0
229,BP08,45,5,27.0,27.0
230,BP08,42,1,26.0,25.0
231,BP08,42,2,26.0,23.0
232,BP08,42,3,35.0,23.0
233,BP08,42,4,27.0,25.0
234,BP08,42,5,25.0,23.0
235,BP08,10,1,24.0,24.0
236,BP08,10,2,29.0,21.0
237,BP08,10,3,29.0,21.0
238,BP08,10,4,30.0,23.0
239,BP08,17,1,23.0,23.0
240,BP08,17,2,28.0,25.0
241,BP08,17,3,38.0,22.0
242,BP08,17,4,23.0,23.0
243,BP08,17,5,33.0,23.0
244,BP08,28,1,31.0,29.0
245,BP08,28,2,30.0,28.0
246,BP08,28,3,40.0,27.0
247,BP08,28,4,29.0,27.0
248,BP08,28,5,30.0,28.0
249,BP08,21,1,23.0,22.0
250,BP08,21,2,23.0,19.0
251,BP08,21,3,30.0,19.0
252,BP08,21,4,20.0,18.0
253,BP08,21,5,19.0,18.0
254,BP08,26,1,26.0,26.0
255,BP08,26,2,27.0,25.0
256,BP08,26,3,35.0,25.0
257,BP08,26,4,33.0,29.0
258,BP08,26,5,28.0,25.0
259,BP08,19,1,22.0,21.0
260,BP08,19,2,22.0,18.0
261,BP08,19,3,28.0,22.0
262,BP08,19,4,19.0,19.0
263,BP08,19,5,22.0,19.0
264,BP08,44,1,29.0,27.0
265,BP08,44,2,36.0,28.0
266,BP08,44,3,44.0,26.0
267,BP08,44,4,32.0,26.0
268,BP08,44,5,28.0,25.0
269,BP09,38,1,30.0,27.0
270,BP09,38,2,27.0,24.0
271,BP09,38,3,30.0,24.0
272,BP09,38,4,30.0,23.0
273,BP09,31,1,14.0,14.0
274,BP09,31,2,18.0,17.0
275,BP09,31,3,19.0,15.0
276,BP09,36,1,26.0,25.0
277,BP09,36,2,28.0,25.0
278,BP09,36,3,30.0,24.0
279,BP09,36,4,37.0,28.0
280,BP09,37,1,21.0,21.0
281,BP09,37,2,21.0,21.0
282,BP09,37,3,25.0,20.0
283,BP09,37,4,25.0,21.0
284,BP09,30,1,15.0,13.0
285,BP09,30,2,13.0,11.0
286,BP09,30,3,19.0,12.0
287,BP09,4,1,34.0,34.0
288,BP09,4,2,36.0,36.0
289,BP09,4,3,37.0,37.0
290,BP09,3,1,44.0,43.0
291,BP09,3,2,43.0,41.0
292,BP09,3,3,43.0,43.0
293,BP09,2,1,55.0,54.0
294,BP09,2,2,54.0,52.0
295,BP09,5,1,30.0,30.0
296,BP09,5,2,31.0,31.0
297,BP09,5,3,32.0,31.0
298,BP09,5,4,55.0,30.0
299,BP09,23,1,9.0,7.0
300,BP09,23,2,10.0,6.0
301,BP09,24,1,7.0,7.0
302,BP09,24,2,8.0,3.0
303,BP09,12,1,28.0,26.0
304,BP09,12,2,24.0,23.0
305,BP09,12,3,44.0,23.0
306,BP09,12,4,43.0,23.0
307,BP09,12,5,24.0,24.0
308,BP09,15,1,14.0,14.0
309,BP09,15,2,14.0,14.0
310,BP09,15,3,34.0,27.0
311,BP09,15,4,34.0,17.0
312,BP09,15,5,14.0,14.0
313,BP09,14,1,13.0,13.0
314,BP09,14,2,12.0,12.0
315,BP09,14,3,32.0,23.0
316,BP09,14,4,32.0,24.0
317,BP09,14,5,12.0,12.0
318,BP09,13,1,25.0,25.0
319,BP09,13,2,27.0,22.0
320,BP09,13,3,34.0,21.0
321,BP09,13,4,33.0,21.0
322,BP09,13,5,22.0,22.0
323,BP09,25,1,14.0,12.0
324,BP09,25,2,12.0,8.0
325,BP09,22,3,5.0,5.0
326,BP09,22,4,7.0,4.0
327,BP09,35,1,23.0,23.0
328,BP09,35,2,27.0,23.0
329,BP09,35,3,25.0,22.0
330,BP09,35,4,35.0,20.0
331,BP09,32,1,27.0,25.0
332,BP09,32,2,22.0,22.0
333,BP09,32,3,23.0,23.0
334,BP09,33,1,30.0,26.0
335,BP09,33,2,31.0,26.0
336,BP09,33,3,35.0,28.0
337,BP09,34,1,30.0,30.0
338,BP09,34,2,34.0,32.0
339,BP09,34,3,38.0,33.0
340,BP09,7,1,36.0,36.0
341,BP09,7,2,33.0,33.0
342,BP09,7,3,43.0,34.0
343,BP09,7,4,46.0,34.0
