,rat,day,total,likelihood,start,DBSCAN,jumps
0,BP08,Day38,6094,6087,,7,34
1,BP08,Day31,12575,12564,0.0,11,33655
2,BP08,Day36,6091,6091,0.0,0,229
3,BP08,Day37,6541,6536,0.0,5,7027
4,BP08,Day30,6103,6103,0.0,0,19078
5,BP08,Day39,6127,6100,0.0,27,1322
6,BP08,Day4,4455,4455,0.0,0,884
7,BP08,Day3,4060,4060,0.0,0,1097
8,BP08,Day2,5964,5964,0.0,0,11424
9,BP08,Day5,4773,4768,0.0,5,11942
10,BP08,Day41,5817,5815,0.0,2,3
11,BP08,Day46,4721,4721,0.0,0,5924
12,BP08,Day48,8848,8843,0.0,5,32432
13,BP08,Day23,6335,6335,0.0,0,70549
14,BP08,Day24,9142,9142,0.0,0,51353
15,BP08,Day12,6788,6786,0.0,2,16324
16,BP08,Day15,8099,8099,6.0,0,8565
17,BP08,Day49,6085,6082,0.0,3,91107
18,BP08,Day47,8822,8740,0.0,82,0
19,BP08,Day14,6097,6097,0.0,0,70937
20,BP08,Day13,6567,6567,0.0,0,72179
21,BP08,Day25,12395,12363,0.0,32,5569
22,BP08,Day22,6834,6834,0.0,0,54454
23,BP08,Day50,5593,5589,0.0,4,54976
24,BP08,Day35,10552,10544,0.0,8,9696
25,BP08,Day32,38431,10465,33121.0,1,265
26,BP08,Day33,9955,9950,0.0,5,15904
27,BP08,Day34,6145,6145,0.0,0,994
28,BP08,Day7,4915,4162,1039.0,1,4782
29,BP08,Day9,3914,3894,0.0,20,4056
30,BP08,Day8,9735,9735,255.0,0,73225
31,BP08,Day6,4690,4690,0.0,0,12128
32,BP08,Day1,5596,5595,0.0,1,4701
33,BP08,Day27,6787,6787,0.0,0,67870
34,BP08,Day18,8233,8231,0.0,2,82893
35,BP08,Day20,7059,7059,0.0,0,86325
36,BP08,Day16,6493,6493,0.0,0,65197
37,BP08,Day29,18640,8506,11768.0,0,51112
38,BP08,Day11,5265,5265,0.0,0,42195
39,BP08,Day45,6730,6729,0.0,1,615
40,BP08,Day42,6437,6437,0.0,0,3459
41,BP08,Day10,4104,4104,0.0,0,9368
42,BP08,Day17,7667,7646,0.0,21,62603
43,BP08,Day28,6954,6950,0.0,4,46032
44,BP08,Day21,4776,4776,0.0,0,56640
45,BP08,Day26,8539,8539,0.0,0,63889
46,BP08,Day19,8314,8301,0.0,13,79106
47,BP08,Day44,5877,5877,0.0,0,22267
