,rat,day,total,likelihood,start,DBSCAN,jumps
0,TH605,Day4,2802,2519,358,0,0
1,TH605,Day3,4387,4252,268,2,0
2,TH605,Day2,3439,3317,203,0,0
3,TH605,Day5,3019,2881,203,0,0
4,TH605,Day23,3257,3111,195,0,0
5,TH605,Day24,2233,2085,187,0,0
6,TH605,Day12,3811,3622,202,0,0
7,TH605,Day15,2418,2238,194,0,455
8,TH605,Day14,2523,2359,243,0,8473
9,TH605,Day13,2467,2302,243,0,0
10,TH605,Day22,2604,2423,235,0,0
11,TH605,Day7,5172,5025,233,0,1609
12,TH605,Day9,7796,7518,332,0,2021
13,TH605,Day8,4148,3928,332,0,0
14,TH605,Day6,4827,4619,388,0,0
15,TH605,Day1,3841,3698,420,0,0
16,TH605,Day27,2897,2781,192,0,0
17,TH605,Day18,3352,3112,280,0,0
18,TH605,Day20,2779,2616,202,0,0
19,TH605,Day16,3063,2985,199,0,0
20,TH605,Day29,2381,2256,229,0,0
21,TH605,Day11,3442,3273,229,0,0
22,TH605,Day10,6119,5961,229,0,0
23,TH605,Day17,2584,2395,229,0,0
24,TH605,Day28,2864,2750,240,0,0
25,TH605,Day21,3295,3131,176,0,2935
26,TH605,Day26,3466,3065,565,0,0
27,TH605,Day19,2536,2312,247,0,0
