,rat,day,trial_type,days_since_new_arm,perf_change
156,BP10,27,5,16,0.040000000000000036
157,BP10,28,2,17,-0.31481481481481477
158,BP10,29,2,18,0.15384615384615385
159,BP10,30,2,19,0.09615384615384615
160,BP10,31,2,20,0.15625
161,BP10,32,2,21,0.048295454545454586
162,BP10,33,3,22,-0.130718954248366
163,BP10,34,3,23,0.11484593837535007
164,BP10,35,3,24,0.09103641456582634
165,BP10,36,4,25,-0.12362637362637363
166,BP10,37,4,26,-0.016233766233766156
167,BP10,38,4,27,0.12909090909090903
168,BP10,39,4,28,-0.0012499999999999734
169,BP10,40,4,29,-0.09375
170,BP10,41,3,30,0.1923076923076923
171,BP10,42,3,31,0.010395010395010451
172,BP10,43,3,32,0.24601524601524594
173,BP10,44,3,33,-0.04246794871794868
174,BP10,45,3,34,0.09375
175,BP10,46,4,35,0.0535714285714286
176,BP11,1,2,0,0.33333333333333337
177,BP11,2,2,1,-0.8333333333333334
178,BP11,3,2,2,0.0
179,BP11,4,2,3,0.8
180,BP11,5,2,4,-0.13333333333333341
181,BP11,6,2,5,0.11111111111111116
182,BP11,7,2,6,-0.06349206349206349
183,BP11,8,2,7,-0.11428571428571432
184,BP11,9,2,8,0.3375
185,BP11,10,2,9,-0.02840909090909094
186,BP11,11,2,10,-0.009090909090909038
187,BP11,12,3,0,-0.2142857142857143
188,BP11,13,3,1,0.25
189,BP11,14,3,2,0.0
190,BP11,15,3,3,0.029503105590062084
191,BP11,16,3,4,-0.17127799736495386
192,BP11,17,3,5,0.20606060606060606
193,BP11,18,3,6,0.06666666666666665
194,BP11,19,3,7,0.13333333333333341
195,BP11,20,3,8,-0.12
196,BP11,21,3,9,0.049729729729729666
197,BP11,22,3,10,0.10360360360360366
198,BP11,23,3,11,0.16666666666666663
199,BP11,24,4,0,0.042857142857142816
200,BP11,25,4,1,0.04805194805194812
201,BP11,26,4,2,-0.06459330143540676
202,BP11,27,4,3,0.23368421052631583
203,BP11,28,4,4,-0.20444444444444443
204,BP11,30,4,6,0.36111111111111105
205,BP11,31,4,7,-0.08333333333333326
206,BP11,32,4,8,-0.04761904761904767
207,BP11,33,4,9,0.15873015873015872
208,BP11,34,4,10,-0.2777777777777778
209,BP11,35,4,11,0.27450980392156865
210,BP11,36,4,12,-0.39572192513368987
211,BP11,37,4,13,0.025974025974025983
212,BP11,38,4,14,0.2561576354679803
213,BP11,39,4,15,-0.05835543766578244
214,BP11,40,4,16,0.0807692307692307
215,BP11,41,4,17,-0.0038461538461538325
216,BP11,42,4,0,0.15384615384615385
217,BP11,43,4,0,-1.0
218,BP11,44,4,1,1.0
219,BP11,45,4,2,-1.0
220,BP11,46,4,3,0.9166666666666666
221,BP11,47,4,4,0.08333333333333337
222,BP11,48,4,5,-0.11111111111111116
223,BP11,49,4,6,0.11111111111111116
224,BP11,50,4,7,-0.04761904761904767
225,BP11,51,4,8,0.04761904761904767
226,BP11,52,4,9,-0.1333333333333333
227,BP13,1,2,0,0.125
228,BP13,2,2,1,0.0892857142857143
229,BP13,3,2,2,0.06349206349206349
230,BP13,4,2,3,0.022222222222222254
231,BP13,5,2,4,-0.16000000000000003
232,BP13,6,2,5,0.041818181818181754
233,BP13,7,2,6,-0.07070707070707061
234,BP13,8,2,7,0.17836257309941517
235,BP13,9,2,8,-0.14661654135338342
236,BP13,10,2,9,0.20329670329670324
237,BP13,11,2,10,-0.01758241758241752
238,BP13,12,2,11,-0.044787644787644854
239,BP13,13,2,12,0.13288288288288286
240,BP13,14,2,13,0.08333333333333337
241,BP13,15,3,0,-0.0625
242,BP13,16,3,1,0.3125
243,BP13,17,3,2,0.12096774193548387
244,BP13,18,3,3,-0.04953917050691248
245,BP13,19,4,0,0.3571428571428571
246,BP13,20,4,1,0.06390977443609025
247,BP13,21,4,2,-0.001052631578947305
248,BP13,22,4,3,-0.13428571428571434
249,BP13,23,4,4,0.06043956043956045
250,BP13,24,4,5,0.10121457489878538
251,BP13,25,4,6,-0.19736842105263153
252,BP13,26,4,7,0.09210526315789469
253,BP13,27,4,8,0.08097165991902844
254,BP13,28,4,9,-0.03418803418803429
255,BP13,29,4,10,0.05228758169934644
256,BP13,30,4,11,-0.018099547511312153
257,BP14,1,2,0,-0.3
258,BP14,2,2,1,0.0
259,BP14,3,2,2,0.425
260,BP14,4,2,3,0.27976190476190477
261,BP14,5,2,4,-0.20105820105820105
262,BP14,6,2,5,-0.03703703703703709
263,BP14,7,2,6,0.0
264,BP14,8,2,7,0.10752688172043012
265,BP14,9,2,8,-0.024193548387096753
266,BP14,10,2,9,-0.050000000000000044
