,rat,day,total,likelihood,start,DBSCAN,jumps
0,TH405,Day31,1828,1090,747,0,0
1,TH405,Day30,36823,2657,35675,0,0
2,TH405,Day4,6158,5923,634,0,0
3,TH405,Day3,86036,7210,85884,0,0
4,TH405,Day2,2643,2411,662,0,0
5,TH405,Day5,5957,5949,246,8,79
6,TH405,Day23,3098,2908,442,0,0
7,TH405,Day24,1411,1327,417,0,0
8,TH405,Day12,1931,1776,417,16,3142
9,TH405,Day15,1289,1039,517,0,0
10,TH405,Day14,1321,1193,455,0,0
11,TH405,Day13,1490,1442,286,0,0
12,TH405,Day25,2961,2778,513,0,0
13,TH405,Day22,3566,3398,379,0,0
14,TH405,Day35,3299,3151,391,0,0
15,TH405,Day32,1989,1814,443,0,0
16,TH405,Day33,2064,1935,359,0,0
17,TH405,Day34,2641,2501,403,0,0
18,TH405,Day7,2667,2612,403,0,0
19,TH405,Day9,3040,2961,524,0,0
20,TH405,Day8,2710,2611,565,0,162
21,TH405,Day6,3808,3617,565,0,0
22,TH405,Day1,2539,2476,446,0,0
23,TH405,Day27,2716,2518,534,7,0
24,TH405,Day18,3155,3067,389,0,0
25,TH405,Day20,3268,3194,525,0,0
26,TH405,Day16,46931,2205,45999,0,0
27,TH405,Day29,2142,2036,466,0,0
28,TH405,Day11,5106,5067,400,0,0
29,TH405,Day10,65207,5464,63257,0,0
30,TH405,Day17,3607,3455,550,0,0
31,TH405,Day28,1825,1589,543,0,223
32,TH405,Day21,1535,1524,2,9,252
33,TH405,Day26,1956,1781,492,0,5
34,TH405,Day19,6099,5906,492,0,0
