,rat,day,total,likelihood,start,DBSCAN,jumps
0,BP06,Day12,10732,10597,1086,2,1784
1,BP06,Day15,30114,30080,457,0,0
2,BP06,Day14,27307,26903,1118,0,119
3,BP06,Day13,17819,17684,1190,0,1
4,BP06,Day22,16269,16208,520,0,0
5,BP06,Day7,8536,8467,1029,2,0
6,BP06,Day9,15759,15699,1256,18,912
7,BP06,Day8,4813,4727,1052,2,0
8,BP06,Day18,26262,26260,0,2,1407
9,BP06,Day20,17804,17763,421,0,0
10,BP06,Day16,23447,23083,884,0,14
11,BP06,Day11,19172,18840,1311,0,5
12,BP06,Day10,91634,90729,916,76,0
13,BP06,Day17,22746,20931,2512,0,1
14,BP06,Day21,15749,15679,309,0,0
15,BP06,Day19,27890,27787,515,0,0
