,rat,day,total,likelihood,start,DBSCAN,jumps
0,TH508,Day38,6913,6704,378,0,0
1,TH508,Day31,23788,4460,20932,0,0
2,TH508,Day36,7379,7105,402,0,0
3,TH508,Day37,6680,6332,1704,0,0
4,TH508,Day30,3362,1835,1704,0,0
5,TH508,Day4,3956,3668,809,0,0
6,TH508,Day3,5261,5197,390,0,0
7,TH508,Day2,3481,3453,0,28,726
8,TH508,Day5,4231,4113,548,0,0
9,TH508,Day23,5084,4955,353,0,0
10,TH508,Day24,9525,9201,479,0,0
11,TH508,Day12,9574,8607,1282,0,0
12,TH508,Day15,6196,5472,945,0,0
13,TH508,Day14,8228,7807,945,0,0
14,TH508,Day13,10161,9935,345,0,0
15,TH508,Day25,6276,6087,333,0,0
16,TH508,Day22,20278,7160,14339,0,0
17,TH508,Day35,5258,5031,337,0,264
18,TH508,Day32,5455,5099,544,0,0
19,TH508,Day33,5509,5268,390,0,0
20,TH508,Day34,5386,5152,383,0,0
21,TH508,Day7,4911,4585,496,0,0
22,TH508,Day9,9725,9397,671,0,0
23,TH508,Day8,6766,6462,473,0,0
24,TH508,Day6,5976,5849,292,0,1195
25,TH508,Day1,8005,6990,1538,0,0
26,TH508,Day27,4306,3635,730,0,0
27,TH508,Day18,5239,5057,430,0,0
28,TH508,Day20,9385,9162,447,0,0
29,TH508,Day16,9038,8762,535,0,0
30,TH508,Day29,2866,2471,544,0,9210
31,TH508,Day11,10517,10188,509,0,0
32,TH508,Day10,10223,9628,856,0,0
33,TH508,Day17,8642,8488,342,0,0
34,TH508,Day28,5061,5061,0,0,359
35,TH508,Day21,7367,7088,508,0,0
36,TH508,Day19,16645,16373,567,0,0
