Rat,Day,VTE_Percentage,Performance_Percentage
BP21,Day30,6.382978723404255,80.85106382978722
BP21,Day39,1.7241379310344827,79.3103448275862
BP21,Day52,0.0,98.18181818181819
BP21,Day4,25.0,85.0
BP21,Day3,46.15384615384615,76.92307692307693
BP21,Day2,50.0,40.0
BP21,Day5,0.0,79.16666666666666
BP21,Day41,3.9215686274509802,76.47058823529412
BP21,Day46,2.2222222222222223,66.66666666666666
BP21,Day23,4.545454545454546,90.9090909090909
BP21,Day12,17.647058823529413,76.47058823529412
BP21,Day15,2.083333333333333,83.33333333333334
BP21,Day49,5.88235294117647,86.27450980392157
BP21,Day47,2.4390243902439024,87.8048780487805
BP21,Day40,5.555555555555555,77.77777777777779
BP21,Day14,2.7777777777777777,77.77777777777779
BP21,Day13,10.714285714285714,83.92857142857143
BP21,Day25,2.127659574468085,93.61702127659575
BP21,Day22,1.6129032258064515,74.19354838709677
BP21,Day50,2.0,94.0
BP21,Day35,2.2222222222222223,88.88888888888889
BP21,Day32,4.166666666666666,87.5
BP21,Day51,0.0,75.80645161290323
BP21,Day33,0.0,68.33333333333333
BP21,Day34,3.7037037037037033,70.37037037037037
BP21,Day9,1.8867924528301887,56.60377358490566
BP21,Day6,6.666666666666667,71.11111111111111
BP21,Day1,100.0,33.33333333333333
BP21,Day27,2.4390243902439024,92.6829268292683
BP21,Day18,1.639344262295082,67.21311475409836
BP21,Day20,0.0,71.05263157894737
BP21,Day16,3.389830508474576,72.88135593220339
BP21,Day29,0.0,93.18181818181817
BP21,Day11,0.0,94.44444444444444
BP21,Day45,8.333333333333332,79.16666666666666
BP21,Day42,0.0,75.0
BP21,Day10,7.894736842105263,100.0
BP21,Day26,4.545454545454546,88.63636363636364
BP21,Day19,4.081632653061225,85.71428571428571
BP21,Day44,0.0,88.63636363636364
BP19,Day38,4.10958904109589,84.93150684931507
BP19,Day31,5.263157894736842,87.71929824561403
BP19,Day36,4.761904761904762,87.3015873015873
BP19,Day37,6.41025641025641,78.2051282051282
BP19,Day30,2.2222222222222223,86.66666666666667
BP19,Day39,0.0,86.07594936708861
BP19,Day4,27.27272727272727,63.63636363636363
BP19,Day3,100.0,50.0
BP19,Day2,62.5,75.0
BP19,Day5,13.636363636363635,90.9090909090909
BP19,Day41,1.1764705882352942,91.76470588235294
BP19,Day23,1.2658227848101267,81.0126582278481
BP19,Day24,0.0,91.46341463414635
BP19,Day12,1.9607843137254901,94.11764705882352
BP19,Day40,0.0,89.39393939393939
BP19,Day13,17.441860465116278,76.74418604651163
BP19,Day25,1.3513513513513513,82.43243243243244
BP19,Day22,1.4285714285714286,87.14285714285714
BP19,Day35,2.7777777777777777,90.27777777777779
BP19,Day32,4.411764705882353,89.70588235294117
BP19,Day33,0.0,94.68085106382979
BP19,Day34,1.5625,82.8125
BP19,Day9,7.8431372549019605,84.31372549019608
BP19,Day8,2.631578947368421,78.94736842105263
BP19,Day6,19.35483870967742,70.96774193548387
BP19,Day1,60.0,60.0
BP19,Day18,3.79746835443038,79.74683544303798
BP19,Day20,2.127659574468085,85.1063829787234
BP19,Day16,4.3478260869565215,81.15942028985508
BP19,Day29,2.73972602739726,87.67123287671232
BP19,Day42,0.0,95.83333333333334
BP19,Day10,1.5151515151515151,95.45454545454545
BP19,Day21,7.017543859649122,87.71929824561403
BP19,Day26,2.7027027027027026,83.78378378378379
BP19,Day19,9.859154929577464,83.09859154929578
BP10,Day38,0.0,72.09302325581395
BP10,Day36,0.0,71.42857142857143
BP10,Day30,8.695652173913043,82.6086956521739
BP10,Day40,3.225806451612903,68.54838709677419
BP10,Day14,29.054054054054053,68.24324324324324
BP10,Day32,0.0,91.17647058823529
BP10,Day1,4.545454545454546,71.21212121212122
BP10,Day29,18.181818181818183,72.72727272727273
BP10,Day45,0.9345794392523363,85.98130841121495
BP10,Day10,0.0,83.0
BP10,Day28,22.22222222222222,66.66666666666666
BP10,Day44,0.0,89.8876404494382
BP16,Day4,25.0,91.66666666666666
BP16,Day3,10.0,82.5
BP16,Day2,21.21212121212121,66.66666666666666
BP16,Day5,7.936507936507936,79.36507936507937
BP16,Day12,2.4390243902439024,100.0
BP16,Day15,2.083333333333333,90.625
BP16,Day14,5.970149253731343,94.02985074626866
BP16,Day13,2.3529411764705883,84.70588235294117
BP16,Day9,1.2987012987012987,98.7012987012987
BP16,Day8,1.694915254237288,93.22033898305084
BP16,Day6,4.6875,82.8125
BP16,Day1,45.45454545454545,72.72727272727273
BP16,Day16,4.444444444444445,95.55555555555556
BP16,Day11,3.571428571428571,95.23809523809523
BP16,Day10,6.097560975609756,96.34146341463415
BP16,Day17,2.857142857142857,88.57142857142857
BP16,Day19,2.3529411764705883,94.11764705882352
BP11,Day31,6.666666666666667,83.33333333333334
BP11,Day37,8.695652173913043,73.91304347826086
BP11,Day30,3.614457831325301,87.95180722891565
BP11,Day52,1.7543859649122806,82.45614035087719
BP11,Day12,36.36363636363637,63.63636363636363
BP11,Day15,7.6923076923076925,78.84615384615384
BP11,Day14,7.575757575757576,77.27272727272727
BP11,Day13,13.461538461538462,76.92307692307693
BP11,Day7,54.54545454545454,81.81818181818183
BP11,Day9,32.0,96.0
BP11,Day8,77.77777777777779,66.66666666666666
BP11,Day27,2.857142857142857,90.0
BP11,Day20,1.7857142857142856,80.35714285714286
BP11,Day28,17.24137931034483,68.96551724137932
BP11,Day21,1.3888888888888888,84.72222222222221
BP11,Day26,9.25925925925926,75.92592592592592
BP11,Day43,4.0,76.0
