ID,Day,Choice,Correct,Trial_Type,IdPhi,Length,zIdPhi,VTE,rat,introduction_day,phase,Unnamed: 0,X Values,Y Values,Trial Type
BP11_Day12_5,Day12,D,False,3,67.5367411270609,2.6899999999999977,3.3216336911510376,True,BP11,12,training,,,,
BP11_Day12_6,Day12,C,True,3,36.25431402942223,0.8940000000000055,0.772795581660335,False,BP11,12,training,,,,
BP11_Day12_11,Day12,D,False,3,3.875629091335586,1.0339999999999918,-0.48672394196943,False,BP11,12,training,,,,
BP11_Day12_14,Day12,D,False,3,45.44169155670867,2.2799999999999727,1.9998557957507008,True,BP11,12,training,,,,
BP11_Day12_15,Day12,C,True,3,18.701543886529095,0.9650000000000318,0.0277430955183343,False,BP11,12,training,,,,
BP11_Day12_7,Day12,D,False,3,201.3079682536851,5.865000000000009,0.0,False,BP11,12,training,,,,
BP11_Day12_13,Day12,D,False,3,76.21820933994583,4.210000000000036,0.0,False,BP11,12,training,,,,
BP11_Day24_4,Day24,D,True,4,40.197628245802115,1.966000000000008,1.686143579610799,True,BP11,24,training,,,,
BP11_Day24_15,Day24,E,False,4,9.013309685250622,0.93100000000004,-0.4768135386031354,False,BP11,24,training,,,,
BP11_Day24_16,Day24,E,False,4,4.364875753844198,0.4500000000000455,-0.639876293960083,False,BP11,24,training,,,,
BP11_Day24_17,Day24,D,True,4,43.24189568288864,1.3460000000000036,1.8682588264318476,True,BP11,24,training,,,,
BP11_Day24_21,Day24,E,False,4,4.153329080345772,0.6189999999999145,-0.647297155260098,False,BP11,24,training,,,,
BP11_Day24_22,Day24,D,True,4,13.306613936468588,1.0710000000000264,0.0774597798394205,False,BP11,24,training,,,,
BP11_Day24_27,Day24,D,True,4,26.1627553971872,1.0710000000000264,0.84654443605668,False,BP11,24,training,,,,
BP11_Day24_30,Day24,E,False,4,2.0925156833945944,0.6549999999999727,-0.7195885798005125,False,BP11,24,training,,,,
BP11_Day24_31,Day24,D,True,4,13.24916710357393,0.8600000000001273,0.0740231750180941,False,BP11,24,training,,,,
BP11_Day24_34,Day24,D,True,4,9.30272973889447,1.0,-0.1620620013290394,False,BP11,24,training,,,,
BP11_Day24_36,Day24,D,True,4,8.189168631232517,1.0009999999999764,-0.2286778490373013,False,BP11,24,training,,,,
BP11_Day24_44,Day24,E,False,4,5.53117316987441,0.5860000000000127,-0.598963661226152,False,BP11,24,training,,,,
BP11_Day24_45,Day24,D,True,4,19.744877774749433,0.8949999999999818,0.4626118836669605,False,BP11,24,training,,,,
BP11_Day24_49,Day24,E,False,4,16.34187514998419,0.9640000000001692,-0.219734252304306,False,BP11,24,training,,,,
BP11_Day24_50,Day24,D,True,4,12.65904184170678,1.5860000000000127,0.0387204922080958,False,BP11,24,training,,,,
BP11_Day24_53,Day24,D,True,4,14.140798187197534,0.8999999999998636,0.12736264608074,False,BP11,24,training,,,,
BP11_Day24_60,Day24,D,True,4,10.57299513866346,0.7609999999999673,-0.0860717338548508,False,BP11,24,training,,,,
BP11_Day24_65,Day24,D,True,4,3.182243833631931,0.7549999999998818,-0.5282038808901801,False,BP11,24,training,,,,
BP11_Day24_69,Day24,E,False,4,9.19249653030452,0.6559999999999491,-0.4705278301023013,False,BP11,24,training,,,,
BP11_Day24_70,Day24,E,False,4,8.519208198684051,0.5839999999998327,-0.4941461609474379,False,BP11,24,training,,,,
BP11_Day24_71,Day24,E,False,4,8.636080202561304,0.5899999999996908,-0.4900463993379302,False,BP11,24,training,,,,
BP11_Day24_72,Day24,D,True,4,8.309962009763769,0.8949999999999818,-0.2214517046856013,False,BP11,24,training,,,,
BP11_Day24_74,Day24,D,True,4,10.411482763191891,0.9650000000001456,-0.0957337844898662,False,BP11,24,training,,,,
BP11_Day24_75,Day24,E,False,4,26.621751602397033,0.8240000000000691,0.140874288936652,False,BP11,24,training,,,,
BP11_Day24_77,Day24,E,False,4,13.158480315133422,0.831000000000131,-0.3314047935704019,False,BP11,24,training,,,,
BP11_Day24_83,Day24,E,False,4,9.218637005082837,0.6559999999999491,-0.4696108464672556,False,BP11,24,training,,,,
BP11_Day24_84,Day24,D,True,4,17.014608424182686,1.0349999999998545,0.2992807417938704,False,BP11,24,training,,,,
BP11_Day24_89,Day24,D,True,4,10.545401510986146,1.0349999999998545,-0.0877224496408303,False,BP11,24,training,,,,
BP11_Day24_90,Day24,D,True,4,7.168984505067336,0.7950000000000728,-0.2897076658254403,False,BP11,24,training,,,,
BP11_Day24_95,Day24,D,True,4,12.14990593634435,0.9639999999999418,0.008262783420436,False,BP11,24,training,,,,
BP11_Day24_97,Day24,E,False,4,45.320916514232,1.9299999999998363,0.796823668532378,False,BP11,24,training,,,,
BP11_Day24_99,Day24,E,False,4,9.139330848854138,0.6539999999999964,-0.4723928329474866,False,BP11,24,training,,,,
BP11_Day24_105,Day24,E,False,4,36.18241033579373,1.6550000000002,0.4762533389780163,False,BP11,24,training,,,,
BP11_Day24_106,Day24,D,True,4,19.537193457925746,1.0700000000001637,0.4501877187731546,False,BP11,24,training,,,,
BP11_Day24_1,Day24,E,False,4,96.86109273992156,5.173999999999992,0.0,False,BP11,24,training,,,,
