x,y,times
339.3077087402344,221.1389007568359,810.9980666666667
339.46368408203125,221.7154998779297,811.0327333333333
339.8201599121094,222.2966461181641,811.0680666666667
340.1465555826823,222.54930114746094,811.1028
340.42676798502606,222.8852793375651,811.1383666666667
340.6192576090495,223.03580220540366,811.1727666666667
340.6901601155599,222.93898264567056,811.2083
340.56617228190106,222.59012603759766,811.2427666666666
340.30335998535156,222.04976654052734,811.2731333333334
339.9748992919922,221.38912455240884,811.3076
339.63551330566406,220.61193084716797,811.3428
339.3801676432292,219.89978535970053,811.3784333333333
339.2406717936198,219.42730967203775,811.4129333333333
339.18926493326825,219.17693074544272,811.4477333333333
339.2010803222656,219.1091334025065,811.4834333333333
339.43335978190106,219.42046101888022,811.5179
339.7364451090495,220.2330067952474,811.5525333333334
340.0524597167969,221.29652404785156,811.5874666666666
340.31703694661456,222.3141098022461,811.6179
340.5865834554036,223.311398824056,811.6534333333333
340.92161560058594,224.23194885253906,811.6878333333333
341.06313069661456,224.85570017496744,811.7234
341.178960164388,225.2004140218099,811.7579333333333
341.2655741373698,225.31556701660156,811.7934666666666
341.33929443359375,225.4632822672526,811.828
341.34185282389325,225.56271107991537,811.8625666666667
341.35333760579425,225.65279897054037,811.8982666666667
341.29896545410156,225.77267201741537,811.9327
341.1911315917969,225.92091115315756,811.9630666666667
341.12225341796875,225.89583333333334,811.9979333333333
341.0372009277344,225.63675689697266,812.0332333333333
341.0199788411458,225.2945073445638,812.0678
341.02288309733075,225.10765075683594,812.1031
341.05519612630206,225.14374542236328,812.1383666666667
341.1687927246094,225.34932454427084,812.1728333333333
341.26401774088544,225.83258310953775,812.2083333333334
341.4018300374349,226.45361836751303,812.2426666666667
341.4311065673828,226.98827616373697,812.2781
341.32334899902344,227.22642262776694,812.3126
341.221918741862,227.12653350830078,812.3426
341.04864501953125,226.7326202392578,812.3779
340.7074737548828,226.00821685791016,812.4125
340.2621103922526,225.08908335367838,812.4480666666667
339.9329427083333,224.30176544189453,812.4835
339.6858876546224,223.5939687093099,812.5179333333333
339.4790751139323,222.93158467610678,812.5526
339.33507283528644,222.54532623291016,812.588
339.3033192952474,222.5467529296875,812.6234333333333
339.34605916341144,222.82273864746094,812.6530666666666
339.3570607503255,223.12698109944662,812.6877
339.3550771077474,223.36238606770834,812.7233333333334
339.2855529785156,223.4377670288086,812.7578
339.147954305013,223.16085306803384,812.7932666666667
339.0942738850911,222.64508310953775,812.8277666666667
339.0537109375,222.03741200764975,812.8633666666667
339.01844787597656,221.41864013671875,812.8979666666667
338.9761708577474,220.85320281982422,812.933
339.00035603841144,220.45660909016928,812.9676333333333
339.04114786783856,220.1513468424479,813.0030333333333
