,rat,day,trials_available,arm_added,days_since_new_arm
496,BP11,Day31,"{'2', '3', '4', '1'}",True,0
497,BP11,Day32,"{'3', '2', '4', '1'}",False,1
498,BP11,Day33,"{'3', '2', '4', '1'}",False,2
499,BP11,Day34,"{'2', '3', '4', '1'}",False,3
500,BP11,Day35,"{'3', '2', '4', '1'}",False,4
501,BP11,Day36,"{'2', '3', '4', '1'}",False,5
502,BP11,Day37,"{'3', '2', '4', '1'}",False,6
503,BP11,Day38,"{'2', '3', '4', '1'}",False,7
504,BP11,Day39,"{'3', '2', '4', '1'}",False,8
505,BP11,Day40,"{'2', '3', '4', '1'}",False,9
506,BP11,Day41,"{'2', '3', '4', '1'}",False,10
507,BP11,Day42,"{'1', '2', '0', '3', '4'}",False,11
508,BP11,Day43,"{'1', '2', '0', '3', '4'}",False,12
509,BP11,Day44,"{'1', '2', '0', '3', '4'}",False,13
510,BP11,Day45,"{'1', '2', '0', '3', '4'}",False,14
511,BP11,Day46,"{'2', '3', '4', '1'}",False,15
512,BP11,Day47,"{'3', '2', '4', '1'}",False,16
513,BP11,Day48,"{'3', '2', '4', '1'}",False,17
514,BP11,Day49,"{'3', '2', '4', '1'}",False,18
515,BP11,Day50,"{'3', '2', '4', '1'}",False,19
516,BP11,Day51,"{'3', '2', '4', '1'}",False,20
517,BP11,Day52,"{'3', '2', '4', '1'}",False,21
