x,y,times
335.70806884765625,205.9153594970703,1551.9392333333333
335.5329284667969,206.57481384277344,1551.9746666666667
335.213623046875,208.0641937255859,1552.0091
335.4253336588542,207.44188690185547,1552.0444
335.33238220214844,208.08231608072916,1552.079
335.2325185139974,208.886843363444,1552.1143333333334
335.2896728515625,209.64161173502603,1552.1502666666668
335.4223124186198,210.37403615315756,1552.1794333333332
335.6038818359375,210.92727915445963,1552.2137
335.9017842610677,211.09263865152994,1552.2493666666667
336.26404825846356,211.15958404541016,1552.2837666666667
336.46327209472656,211.0639190673828,1552.3189666666667
336.5306650797526,210.93250274658203,1552.3544333333334
336.52801513671875,210.84525044759116,1552.3883666666666
336.47356669108075,210.82377115885416,1552.4245333333333
336.2996571858724,210.80670166015625,1552.4591333333333
336.2495625813802,210.6728973388672,1552.4896
336.38831583658856,210.4256820678711,1552.5291333333332
336.6098175048828,209.78057607014975,1552.5593
336.8215688069661,209.10368855794272,1552.5995333333333
337.14809163411456,208.38292185465494,1552.6694333333332
337.5081380208333,207.71964009602866,1552.7038333333333
337.7416737874349,207.04596710205078,1552.7392
337.91607157389325,206.40959676106772,1552.7700333333332
338.0228322347005,206.0333455403646,1552.8045
338.1251983642578,205.62852732340494,1552.8388333333332
338.10948689778644,205.16608174641928,1552.8737333333333
338.2164560953776,204.7147013346354,1552.9092666666666
338.2926991780599,204.08424631754556,1552.9394
338.4609883626302,203.5738321940104,1552.9741
338.6469370524089,203.06789906819662,1553.0094666666666
338.8297068277995,202.7717030843099,1553.044
338.9548594156901,202.52403513590494,1553.0794
338.91826883951825,202.28718058268228,1553.1138666666666
338.9492899576823,202.15606435139975,1553.1494
338.9463755289714,201.8345489501953,1553.1838333333333
338.9700215657552,201.37450408935547,1553.2145
339.0539042154948,200.8165079752604,1553.2491666666667
339.30132548014325,200.39088439941406,1553.2837333333334
339.57940673828125,199.87492879231772,1553.3196
339.9751892089844,199.14691925048828,1553.354
340.6715037027995,198.3053766886393,1553.3895
341.6545664469401,197.51746877034506,1553.4241
342.6810557047526,196.6216608683268,1553.4595666666667
343.7147165934245,195.77921040852866,1553.4943333333333
344.6664072672526,195.08169809977213,1553.5289
345.486811319987,194.61009216308594,1553.5645666666667
346.1186879475911,194.33506774902344,1553.5938333333334
346.52167256673175,194.13131205240884,1553.6293333333333
346.8925526936849,194.06295013427734,1553.6637666666666
347.1798807779948,194.06348419189453,1553.6991666666668
347.4856669108073,194.1847381591797,1553.7346333333332
347.66689046223956,194.47201283772787,1553.7689
347.6074523925781,194.72220357259116,1553.8039666666666
347.5129038492839,195.21216583251953,1553.8394666666666
347.25721232096356,195.63697814941406,1553.8742666666667
347.08544921875,195.92377217610678,1553.9046333333333
346.8889923095703,196.23513793945312,1553.9391
346.6317850748698,196.58175913492838,1553.9747
346.42694600423175,196.93047841389975,1554.0091666666667
345.83046468098956,196.93524932861328,1554.0445333333332
344.9549153645833,196.8936335245768,1554.0793333333334
343.4534098307292,197.6948216756185,1554.1138
342.23656209309894,198.39146169026694,1554.1493
340.9583435058594,199.1239267985026,1554.2542
339.83368428548175,199.98988596598306,1554.2846
339.00755818684894,201.05938720703125,1554.319
338.4947764078776,202.21847025553384,1554.3546666666666
338.45423889160156,202.79092152913412,1554.3891333333333
338.1269887288411,203.47225952148438,1554.4237333333333
337.9611104329427,204.18601735432944,1554.4592333333333
337.6208750406901,204.95279693603516,1554.4946666666667
337.2710367838542,205.7658716837565,1554.5290666666667
336.8900960286458,206.8444849650065,1554.5646
336.4651641845703,207.86592864990234,1554.5993
336.1108652750651,208.6945343017578,1554.6296333333332
335.86778767903644,209.18566131591797,1554.6639333333333
335.79835001627606,209.21097310384116,1554.6993666666667
335.8681640625,209.00961558024088,1554.7339333333334
335.98450724283856,208.50916035970053,1554.7693333333334
336.1348876953125,207.9359893798828,1554.8046666666667
336.21241760253906,207.51530965169272,1554.8392333333334
336.1965840657552,207.3415273030599,1554.8737333333333
336.11562093098956,207.5486323038737,1554.9092
335.97608439127606,207.81959025065103,1554.9439333333332
335.92124938964844,208.14392852783203,1554.9743
335.94794209798175,208.37829081217447,1555.0087
335.9936269124349,208.57891082763672,1555.0442333333333
336.1233673095703,208.77261352539062,1555.0790666666667
336.2793223063151,208.63097635904947,1555.1147
336.5117645263672,208.3491973876953,1555.1491333333333
336.79258219401044,207.89712524414062,1555.1847
337.037109375,207.47333526611328,1555.2192
337.2530059814453,206.96075185139975,1555.2544333333333
337.3235677083333,206.38047790527344,1555.2888
337.416987101237,206.08582051595053,1555.3193333333334
337.5572764078776,206.00051625569662,1555.3538666666666
337.7215983072917,205.9373982747396,1555.3894
337.99354553222656,205.81895955403647,1555.4240666666667
338.4309946695964,205.7029037475586,1555.4587333333334
339.0603434244792,205.66437021891275,1555.4942333333333
339.61414591471356,205.5550053914388,1555.529
340.0693766276042,205.4699503580729,1555.5644666666667
340.4065907796224,205.48934936523438,1555.5992
340.5906524658203,205.5579096476237,1555.6339
340.5189259847005,205.5331776936849,1555.6691666666666
340.2797597249349,205.18819173177084,1555.6995666666667
340.1278940836589,204.75705210367838,1555.7339666666667
340.1492004394531,204.16820780436197,1555.7695
340.5950978597005,203.27648162841797,1555.8038666666666
341.07794189453125,202.16339619954428,1555.8392666666666
341.20262654622394,201.4590861002604,1555.8739666666668
340.9675598144531,202.45914459228516,1555.9097333333334
339.8761850992839,205.1934585571289,1555.9443333333334
338.74720764160156,210.40837860107422,1555.9788666666666
337.16383870442706,217.73035939534506,1556.0093333333334
335.61146036783856,226.60832722981772,1556.0439666666666
